customer_id,transaction_date,amount,product_category,quantity,discount_applied,payment_method,shipping_method
CUST000001,2023-09-08 00:00:00.000000000,60.1,Clothing,5,True,Bank Transfer,Standard
CUST000001,2024-12-31 00:00:00.000000000,28.05,Electronics,1,True,Debit Card,Overnight
CUST000002,2023-12-15 00:00:00.000000000,25.0,Books,3,True,Credit Card,Express
CUST000002,2024-12-31 00:00:00.000000000,220.31,Clothing,3,False,PayPal,Standard
CUST000003,2024-12-22 00:00:00.000000000,18.85,Books,3,True,Debit Card,Standard
CUST000004,2024-06-30 00:00:00.000000000,44.27,Home & Garden,4,False,PayPal,Overnight
CUST000004,2024-08-05 19:12:00.000000000,3.33,Automotive,2,False,Credit Card,Standard
CUST000004,2024-09-11 14:24:00.000000000,4.18,Electronics,3,False,PayPal,Standard
CUST000004,2024-10-18 09:36:00.000000000,16.87,Books,5,False,Debit Card,Overnight
CUST000004,2024-11-24 04:48:00.000000000,9.82,Food & Beverages,4,False,Debit Card,Express
CUST000004,2024-12-31 00:00:00.000000000,48.28,Home & Garden,2,False,Bank Transfer,Overnight
CUST000005,2024-01-30 00:00:00.000000000,25.26,Food & Beverages,5,False,Credit Card,Overnight
CUST000005,2024-07-16 00:00:00.000000000,35.91,Clothing,5,False,PayPal,Standard
CUST000005,2024-12-31 00:00:00.000000000,5.99,Sports,4,True,Bank Transfer,Standard
CUST000006,2023-06-06 00:00:00.000000000,51.98,Home & Garden,5,True,PayPal,Express
CUST000006,2024-03-19 00:00:00.000000000,16.11,Electronics,1,False,PayPal,Standard
CUST000006,2024-12-31 00:00:00.000000000,23.34,Electronics,2,True,Credit Card,Overnight
CUST000007,2024-07-06 00:00:00.000000000,9.31,Books,3,False,PayPal,Express
CUST000007,2024-08-04 16:00:00.000000000,88.86,Automotive,4,True,Debit Card,Standard
CUST000007,2024-09-03 08:00:00.000000000,7.65,Clothing,3,True,Debit Card,Overnight
CUST000007,2024-10-03 00:00:00.000000000,42.55,Books,1,True,Credit Card,Standard
CUST000007,2024-11-01 16:00:00.000000000,3.15,Clothing,1,False,Credit Card,Overnight
CUST000007,2024-12-01 08:00:00.000000000,6.73,Books,3,False,Debit Card,Overnight
CUST000007,2024-12-31 00:00:00.000000000,41.94,Home & Garden,5,False,Debit Card,Express
CUST000008,2023-03-04 00:00:00.000000000,40.68,Beauty,1,True,Debit Card,Standard
CUST000008,2024-02-01 00:00:00.000000000,28.82,Automotive,4,True,Bank Transfer,Standard
CUST000008,2024-12-31 00:00:00.000000000,23.07,Sports,4,True,Credit Card,Express
CUST000009,2024-05-12 00:00:00.000000000,117.75,Toys,1,True,Bank Transfer,Standard
CUST000009,2024-07-28 16:00:00.000000000,50.02,Toys,3,False,PayPal,Express
CUST000009,2024-10-14 08:00:00.000000000,3.99,Automotive,4,True,Debit Card,Express
CUST000009,2024-12-31 00:00:00.000000000,48.86,Books,1,True,PayPal,Standard
CUST000010,2024-02-18 00:00:00.000000000,14.7,Health,2,True,Credit Card,Express
CUST000011,2024-04-13 00:00:00.000000000,114.11,Clothing,1,False,Credit Card,Standard
CUST000011,2024-12-31 00:00:00.000000000,101.24,Automotive,2,False,Debit Card,Express
CUST000012,2024-11-14 00:00:00.000000000,22.85,Sports,1,True,PayPal,Standard
CUST000012,2024-11-20 17:08:34.285714285,49.28,Clothing,5,True,PayPal,Express
CUST000012,2024-11-27 10:17:08.571428571,106.77,Health,2,False,Debit Card,Overnight
CUST000012,2024-12-04 03:25:42.857142857,18.63,Sports,5,False,PayPal,Standard
CUST000012,2024-12-10 20:34:17.142857143,26.5,Clothing,4,False,Credit Card,Standard
CUST000012,2024-12-17 13:42:51.428571429,8.78,Beauty,2,False,Debit Card,Overnight
CUST000012,2024-12-24 06:51:25.714285714,7.88,Food & Beverages,5,False,Credit Card,Standard
CUST000012,2024-12-31 00:00:00.000000000,87.8,Clothing,2,True,PayPal,Overnight
CUST000013,2024-07-27 00:00:00.000000000,51.11,Toys,5,True,Debit Card,Standard
CUST000013,2024-08-15 15:00:00.000000000,15.27,Home & Garden,4,True,Debit Card,Overnight
CUST000013,2024-09-04 06:00:00.000000000,51.09,Beauty,4,True,PayPal,Standard
CUST000013,2024-09-23 21:00:00.000000000,209.69,Clothing,4,True,Bank Transfer,Standard
CUST000013,2024-10-13 12:00:00.000000000,31.72,Books,4,False,PayPal,Standard
CUST000013,2024-11-02 03:00:00.000000000,216.5,Books,1,True,Bank Transfer,Express
CUST000013,2024-11-21 18:00:00.000000000,1.43,Sports,1,False,PayPal,Overnight
CUST000013,2024-12-11 09:00:00.000000000,88.79,Automotive,4,False,Credit Card,Standard
CUST000013,2024-12-31 00:00:00.000000000,36.76,Sports,2,False,Credit Card,Standard
CUST000014,2024-01-08 00:00:00.000000000,25.44,Beauty,5,False,Credit Card,Overnight
CUST000014,2024-07-05 00:00:00.000000000,50.83,Sports,5,False,Bank Transfer,Express
CUST000014,2024-12-31 00:00:00.000000000,195.09,Toys,3,True,Debit Card,Express
CUST000015,2024-04-21 00:00:00.000000000,12.55,Books,5,False,Debit Card,Overnight
CUST000015,2024-08-26 00:00:00.000000000,18.14,Clothing,3,False,Credit Card,Standard
CUST000015,2024-12-31 00:00:00.000000000,99.33,Sports,2,True,Debit Card,Standard
CUST000016,2023-06-01 00:00:00.000000000,37.21,Electronics,1,False,Debit Card,Standard
CUST000016,2023-10-23 18:00:00.000000000,105.89,Automotive,4,True,Debit Card,Standard
CUST000016,2024-03-16 12:00:00.000000000,14.26,Food & Beverages,2,False,PayPal,Express
CUST000016,2024-08-08 06:00:00.000000000,22.35,Health,5,False,Bank Transfer,Standard
CUST000016,2024-12-31 00:00:00.000000000,20.69,Food & Beverages,4,False,Debit Card,Overnight
CUST000017,2023-05-22 00:00:00.000000000,33.32,Toys,2,True,Credit Card,Express
CUST000018,2024-05-03 00:00:00.000000000,21.95,Beauty,3,False,Bank Transfer,Overnight
CUST000019,2023-06-19 00:00:00.000000000,318.44,Home & Garden,5,True,Bank Transfer,Overnight
CUST000019,2023-09-07 03:25:42.857142857,40.83,Health,1,True,Bank Transfer,Standard
CUST000019,2023-11-26 06:51:25.714285714,45.11,Food & Beverages,2,True,PayPal,Express
CUST000019,2024-02-14 10:17:08.571428572,30.29,Beauty,2,False,PayPal,Express
CUST000019,2024-05-04 13:42:51.428571428,3.31,Toys,3,False,PayPal,Standard
CUST000019,2024-07-23 17:08:34.285714284,32.08,Food & Beverages,1,True,PayPal,Standard
CUST000019,2024-10-11 20:34:17.142857144,35.6,Clothing,1,True,Debit Card,Standard
CUST000019,2024-12-31 00:00:00.000000000,636.44,Electronics,5,True,Debit Card,Standard
CUST000020,2023-06-17 00:00:00.000000000,47.55,Clothing,5,True,PayPal,Overnight
CUST000020,2023-07-10 11:00:00.000000000,31.76,Toys,4,True,Credit Card,Overnight
CUST000020,2023-08-02 22:00:00.000000000,8.15,Books,1,False,Credit Card,Overnight
CUST000020,2023-08-26 09:00:00.000000000,130.5,Electronics,3,False,PayPal,Standard
CUST000020,2023-09-18 20:00:00.000000000,81.64,Automotive,3,True,Bank Transfer,Express
CUST000020,2023-10-12 07:00:00.000000000,85.56,Clothing,4,False,Bank Transfer,Overnight
CUST000020,2023-11-04 18:00:00.000000000,11.12,Home & Garden,4,True,PayPal,Overnight
CUST000020,2023-11-28 05:00:00.000000000,178.28,Automotive,4,False,Bank Transfer,Overnight
CUST000020,2023-12-21 16:00:00.000000000,6.16,Health,3,False,Debit Card,Standard
CUST000020,2024-01-14 03:00:00.000000000,66.97,Sports,4,True,Bank Transfer,Overnight
CUST000020,2024-02-06 14:00:00.000000000,458.77,Health,4,False,Credit Card,Express
CUST000020,2024-03-01 01:00:00.000000000,10.09,Beauty,2,False,Debit Card,Express
CUST000020,2024-03-24 12:00:00.000000000,16.78,Sports,3,False,PayPal,Overnight
CUST000020,2024-04-16 23:00:00.000000000,37.32,Electronics,5,True,Credit Card,Standard
CUST000020,2024-05-10 10:00:00.000000000,18.1,Toys,4,True,Bank Transfer,Overnight
CUST000020,2024-06-02 21:00:00.000000000,5.15,Food & Beverages,4,True,Credit Card,Express
CUST000020,2024-06-26 08:00:00.000000000,35.96,Books,4,True,PayPal,Overnight
CUST000020,2024-07-19 19:00:00.000000000,9.26,Health,3,False,PayPal,Express
CUST000020,2024-08-12 06:00:00.000000000,58.46,Automotive,3,False,Bank Transfer,Express
CUST000020,2024-09-04 17:00:00.000000000,10.99,Sports,3,True,Credit Card,Overnight
CUST000020,2024-09-28 04:00:00.000000000,212.71,Books,3,True,Debit Card,Standard
CUST000020,2024-10-21 15:00:00.000000000,12.94,Books,4,False,PayPal,Standard
CUST000020,2024-11-14 02:00:00.000000000,22.5,Books,3,True,PayPal,Standard
CUST000020,2024-12-07 13:00:00.000000000,87.9,Sports,1,True,PayPal,Standard
CUST000020,2024-12-31 00:00:00.000000000,7.56,Electronics,5,False,Debit Card,Overnight
CUST000021,2023-03-08 00:00:00.000000000,41.33,Clothing,5,True,Debit Card,Standard
CUST000021,2024-02-03 00:00:00.000000000,45.23,Health,3,True,Debit Card,Standard
CUST000021,2024-12-31 00:00:00.000000000,84.62,Automotive,4,True,Bank Transfer,Express
CUST000022,2023-09-28 00:00:00.000000000,47.29,Home & Garden,2,True,Credit Card,Standard
CUST000022,2024-01-21 00:00:00.000000000,44.73,Electronics,4,False,Bank Transfer,Express
CUST000022,2024-05-15 00:00:00.000000000,50.19,Electronics,2,False,PayPal,Overnight
CUST000022,2024-09-07 00:00:00.000000000,14.64,Food & Beverages,1,True,PayPal,Overnight
CUST000022,2024-12-31 00:00:00.000000000,43.76,Health,2,False,Credit Card,Overnight
CUST000023,2023-05-08 00:00:00.000000000,14.05,Sports,4,False,Bank Transfer,Express
CUST000023,2023-11-25 00:00:00.000000000,310.73,Clothing,5,True,Bank Transfer,Overnight
CUST000023,2024-06-13 00:00:00.000000000,58.48,Beauty,5,False,Credit Card,Standard
CUST000023,2024-12-31 00:00:00.000000000,7.93,Books,5,True,PayPal,Overnight
CUST000024,2023-12-23 00:00:00.000000000,133.0,Beauty,1,True,PayPal,Express
CUST000024,2024-06-27 00:00:00.000000000,12.37,Food & Beverages,3,False,Credit Card,Express
CUST000024,2024-12-31 00:00:00.000000000,105.22,Clothing,3,False,PayPal,Standard
CUST000025,2023-02-22 00:00:00.000000000,24.67,Automotive,2,False,Bank Transfer,Overnight
CUST000025,2024-12-31 00:00:00.000000000,13.4,Food & Beverages,1,True,Debit Card,Overnight
CUST000026,2024-05-25 00:00:00.000000000,49.87,Sports,5,False,Bank Transfer,Express
CUST000026,2024-06-09 17:08:34.285714285,46.16,Food & Beverages,2,False,Debit Card,Express
CUST000026,2024-06-25 10:17:08.571428571,89.36,Books,5,True,Credit Card,Express
CUST000026,2024-07-11 03:25:42.857142857,33.64,Toys,3,False,Credit Card,Express
CUST000026,2024-07-26 20:34:17.142857143,189.47,Sports,5,False,Debit Card,Express
CUST000026,2024-08-11 13:42:51.428571429,24.1,Automotive,4,False,PayPal,Overnight
CUST000026,2024-08-27 06:51:25.714285714,866.28,Automotive,4,False,PayPal,Standard
CUST000026,2024-09-12 00:00:00.000000000,70.16,Books,5,False,Debit Card,Express
CUST000026,2024-09-27 17:08:34.285714286,11.84,Electronics,3,False,Bank Transfer,Express
CUST000026,2024-10-13 10:17:08.571428572,9.16,Home & Garden,4,True,Debit Card,Overnight
CUST000026,2024-10-29 03:25:42.857142858,59.08,Health,3,True,Bank Transfer,Standard
CUST000026,2024-11-13 20:34:17.142857144,25.33,Automotive,4,True,Debit Card,Express
CUST000026,2024-11-29 13:42:51.428571428,78.01,Home & Garden,1,False,PayPal,Express
CUST000026,2024-12-15 06:51:25.714285714,58.43,Health,4,True,PayPal,Overnight
CUST000026,2024-12-31 00:00:00.000000000,30.34,Automotive,4,False,Bank Transfer,Overnight
CUST000027,2023-06-20 00:00:00.000000000,5.38,Electronics,1,False,Credit Card,Express
CUST000027,2023-10-10 00:00:00.000000000,19.38,Beauty,3,False,Debit Card,Standard
CUST000027,2024-01-30 00:00:00.000000000,92.54,Automotive,4,True,Debit Card,Standard
CUST000027,2024-05-21 00:00:00.000000000,42.82,Clothing,5,False,Debit Card,Express
CUST000027,2024-09-10 00:00:00.000000000,7.43,Health,2,True,Bank Transfer,Overnight
CUST000027,2024-12-31 00:00:00.000000000,40.76,Sports,4,False,Credit Card,Express
CUST000028,2023-11-06 00:00:00.000000000,35.51,Toys,4,True,Debit Card,Express
CUST000028,2024-12-31 00:00:00.000000000,8.4,Health,3,False,PayPal,Standard
CUST000029,2023-08-24 00:00:00.000000000,117.28,Beauty,2,True,PayPal,Overnight
CUST000029,2023-12-25 18:00:00.000000000,6.34,Home & Garden,1,True,PayPal,Express
CUST000029,2024-04-27 12:00:00.000000000,10.75,Electronics,5,False,Debit Card,Standard
CUST000029,2024-08-29 06:00:00.000000000,61.44,Sports,3,False,Debit Card,Standard
CUST000029,2024-12-31 00:00:00.000000000,61.35,Home & Garden,5,False,PayPal,Standard
CUST000030,2024-07-24 00:00:00.000000000,3372.06,Toys,1,False,Credit Card,Express
CUST000030,2024-10-12 00:00:00.000000000,65.7,Beauty,3,False,PayPal,Standard
CUST000030,2024-12-31 00:00:00.000000000,129.37,Books,4,True,PayPal,Overnight
CUST000031,2024-07-04 00:00:00.000000000,82.33,Food & Beverages,3,False,Debit Card,Express
CUST000032,2024-12-03 00:00:00.000000000,36.53,Beauty,1,False,PayPal,Standard
CUST000032,2024-12-17 00:00:00.000000000,532.5,Clothing,4,True,Debit Card,Overnight
CUST000032,2024-12-31 00:00:00.000000000,3.52,Health,1,True,PayPal,Standard
CUST000033,2023-10-11 00:00:00.000000000,122.33,Home & Garden,2,False,Debit Card,Standard
CUST000033,2023-12-05 21:00:00.000000000,35.77,Electronics,2,True,PayPal,Standard
CUST000033,2024-01-30 18:00:00.000000000,9.09,Health,3,True,Debit Card,Express
CUST000033,2024-03-26 15:00:00.000000000,14.04,Electronics,2,False,Credit Card,Overnight
CUST000033,2024-05-21 12:00:00.000000000,74.85,Clothing,4,False,PayPal,Overnight
CUST000033,2024-07-16 09:00:00.000000000,13.78,Health,1,False,Debit Card,Overnight
CUST000033,2024-09-10 06:00:00.000000000,42.94,Electronics,5,False,Bank Transfer,Overnight
CUST000033,2024-11-05 03:00:00.000000000,34.98,Electronics,1,False,Bank Transfer,Express
CUST000033,2024-12-31 00:00:00.000000000,15.15,Clothing,4,False,Credit Card,Standard
CUST000034,2024-04-09 00:00:00.000000000,41.42,Toys,1,True,Debit Card,Express
CUST000034,2024-07-06 16:00:00.000000000,14.97,Food & Beverages,2,False,PayPal,Express
CUST000034,2024-10-03 08:00:00.000000000,92.1,Toys,4,True,PayPal,Express
CUST000034,2024-12-31 00:00:00.000000000,12.79,Beauty,3,False,Debit Card,Overnight
CUST000035,2024-11-17 00:00:00.000000000,60.7,Beauty,4,True,PayPal,Overnight
CUST000036,2023-10-13 00:00:00.000000000,18.73,Toys,5,True,PayPal,Standard
CUST000036,2024-02-01 06:00:00.000000000,15.12,Home & Garden,3,False,PayPal,Express
CUST000036,2024-05-22 12:00:00.000000000,275.49,Electronics,2,True,Bank Transfer,Standard
CUST000036,2024-09-10 18:00:00.000000000,53.84,Home & Garden,1,True,Debit Card,Express
CUST000036,2024-12-31 00:00:00.000000000,7.29,Toys,4,False,Debit Card,Express
CUST000037,2024-11-08 00:00:00.000000000,422.67,Health,4,False,PayPal,Standard
CUST000037,2024-12-04 12:00:00.000000000,114.32,Automotive,1,False,Bank Transfer,Standard
CUST000037,2024-12-31 00:00:00.000000000,5.35,Sports,5,False,PayPal,Standard
CUST000038,2024-05-24 00:00:00.000000000,56.41,Home & Garden,2,False,Debit Card,Overnight
CUST000038,2024-06-29 20:00:00.000000000,83.89,Automotive,3,True,Bank Transfer,Overnight
CUST000038,2024-08-05 16:00:00.000000000,10.89,Electronics,4,True,Bank Transfer,Standard
CUST000038,2024-09-11 12:00:00.000000000,30.83,Beauty,5,False,Bank Transfer,Overnight
CUST000038,2024-10-18 08:00:00.000000000,0.68,Toys,3,True,Bank Transfer,Standard
CUST000038,2024-11-24 04:00:00.000000000,9.69,Beauty,2,False,PayPal,Standard
CUST000038,2024-12-31 00:00:00.000000000,24.46,Toys,1,True,Bank Transfer,Overnight
CUST000039,2023-12-24 00:00:00.000000000,19.53,Home & Garden,2,True,Debit Card,Express
CUST000039,2024-06-27 12:00:00.000000000,38.74,Books,2,True,Credit Card,Standard
CUST000039,2024-12-31 00:00:00.000000000,186.7,Food & Beverages,4,False,PayPal,Overnight
CUST000040,2024-04-17 00:00:00.000000000,10.2,Electronics,3,False,Credit Card,Overnight
CUST000040,2024-08-24 00:00:00.000000000,57.66,Clothing,5,False,Bank Transfer,Overnight
CUST000040,2024-12-31 00:00:00.000000000,42.05,Automotive,1,False,Debit Card,Express
CUST000041,2024-12-25 00:00:00.000000000,37.95,Food & Beverages,5,True,PayPal,Express
CUST000041,2024-12-28 00:00:00.000000000,73.3,Sports,4,False,PayPal,Overnight
CUST000041,2024-12-31 00:00:00.000000000,222.12,Health,1,False,Credit Card,Express
CUST000042,2023-12-25 00:00:00.000000000,27.6,Toys,2,True,PayPal,Overnight
CUST000042,2024-12-31 00:00:00.000000000,67.09,Toys,3,True,Credit Card,Overnight
CUST000043,2023-05-21 00:00:00.000000000,15.69,Sports,1,True,PayPal,Overnight
CUST000044,2024-11-23 00:00:00.000000000,91.79,Food & Beverages,5,False,Bank Transfer,Standard
CUST000044,2024-11-30 14:24:00.000000000,50.83,Automotive,2,False,Bank Transfer,Standard
CUST000044,2024-12-08 04:48:00.000000000,14.42,Beauty,5,False,Bank Transfer,Express
CUST000044,2024-12-15 19:12:00.000000000,97.47,Toys,5,False,Debit Card,Standard
CUST000044,2024-12-23 09:36:00.000000000,47.88,Health,2,False,Credit Card,Overnight
CUST000044,2024-12-31 00:00:00.000000000,87.83,Food & Beverages,3,True,Credit Card,Express
CUST000045,2023-02-24 00:00:00.000000000,81.19,Beauty,2,False,Credit Card,Express
CUST000045,2024-01-28 00:00:00.000000000,68.89,Books,1,False,Credit Card,Overnight
CUST000045,2024-12-31 00:00:00.000000000,32.3,Beauty,2,True,Credit Card,Express
CUST000046,2023-04-24 00:00:00.000000000,63.85,Books,3,True,Credit Card,Standard
CUST000046,2023-08-04 20:00:00.000000000,25.98,Toys,5,False,Credit Card,Standard
CUST000046,2023-11-15 16:00:00.000000000,25.5,Food & Beverages,5,True,Debit Card,Overnight
CUST000046,2024-02-26 12:00:00.000000000,123.78,Home & Garden,3,False,Credit Card,Overnight
CUST000046,2024-06-08 08:00:00.000000000,89.17,Beauty,2,False,Debit Card,Overnight
CUST000046,2024-09-19 04:00:00.000000000,87.9,Clothing,5,False,Credit Card,Overnight
CUST000046,2024-12-31 00:00:00.000000000,158.63,Automotive,5,True,Bank Transfer,Express
CUST000047,2023-05-17 00:00:00.000000000,48.86,Automotive,3,True,Bank Transfer,Overnight
CUST000048,2024-06-11 00:00:00.000000000,12.41,Automotive,4,False,Credit Card,Overnight
CUST000048,2024-09-20 12:00:00.000000000,407.84,Books,3,False,Credit Card,Overnight
CUST000048,2024-12-31 00:00:00.000000000,9.9,Beauty,3,True,PayPal,Express
CUST000049,2024-03-10 00:00:00.000000000,70.03,Health,2,False,PayPal,Standard
CUST000050,2024-09-21 00:00:00.000000000,36.27,Sports,1,True,Bank Transfer,Express
